date,fish
1/1,salmon
1/1,cod
1/1,cod
1/1,plaice
1/1,plaice
1/2,halibut
1/2,mackerel
1/2,char
1/2,char
1/2,salmon
1/2,sole
1/2,char
1/2,halibut
1/2,sole
1/2,cod
1/3,mackerel
1/3,halibut
1/3,plaice
1/3,plaice
1/3,plaice
1/3,ahi
1/4,salmon
1/4,salmon
1/4,char
1/4,maguro
1/4,sole
1/5,cod
1/5,maguro
1/5,salmon
1/5,halibut
1/6,cod
1/6,mackerel
1/7,mackerel
1/7,sole
1/7,tilapia
1/7,plaice
1/7,char
1/8,plaice
1/8,maguro
1/9,ahi
1/9,maguro
1/9,halibut
1/9,sole
1/9,maguro
1/9,ahi
1/9,char
1/9,char
1/9,sole
1/9,cod
1/10,salmon
1/10,halibut
1/11,char
1/11,char
1/12,halibut
1/12,tilapia
1/12,sole
1/12,plaice
1/12,salmon
1/12,maguro
1/12,plaice
1/12,plaice
1/12,plaice
1/13,mackerel
1/13,sole
1/13,tilapia
1/13,cod
1/13,char
1/13,mackerel
1/13,cod
1/13,salmon
1/13,ahi
1/14,sole
1/14,mackerel
1/14,cod
1/15,mackerel
1/15,salmon
1/15,plaice
1/15,ahi
1/16,mackerel
1/16,cod
1/16,char
1/16,ahi
1/16,ahi
1/17,sole
1/17,maguro
1/17,mackerel
1/18,tilapia
1/18,char
1/18,sole
1/18,char
1/18,tilapia
1/18,ahi
1/18,cod
1/18,ahi
1/18,plaice
1/18,salmon
1/19,maguro
1/19,salmon
1/19,maguro
1/19,sole
1/19,sole
1/20,tilapia
1/20,ahi
1/20,plaice
1/20,plaice
1/20,sole
1/20,salmon
1/20,maguro
1/20,mackerel
1/20,tilapia
1/21,salmon
1/21,mackerel
1/21,halibut
1/21,cod
1/21,mackerel
1/21,char
1/21,halibut
1/21,maguro
1/21,cod
1/22,mackerel
1/22,maguro
1/22,cod
1/22,plaice
1/22,maguro
1/22,halibut
1/23,halibut
1/23,char
1/23,tilapia
1/23,ahi
1/24,cod
1/24,maguro
1/24,halibut
1/24,ahi
1/24,salmon
1/24,salmon
1/24,char
1/24,halibut
1/25,plaice
1/25,halibut
1/25,maguro
1/26,char
1/26,plaice
1/26,salmon
1/27,sole
1/27,cod
1/27,ahi
1/27,halibut
1/27,salmon
1/28,mackerel
1/28,ahi
1/28,ahi
1/28,cod
1/28,sole
1/28,mackerel
1/28,plaice
1/28,halibut
1/29,halibut
1/29,mackerel
1/29,ahi
1/29,salmon
1/30,sole
1/30,maguro
1/30,plaice
1/30,halibut
1/30,cod
1/31,sole
1/31,salmon
1/31,maguro
1/31,cod
2/1,halibut
2/1,sole
2/1,salmon
2/2,ahi
2/2,plaice
2/2,mackerel
2/3,halibut
2/3,sole
2/3,char
2/3,tilapia
2/3,ahi
2/3,char
2/3,sole
2/3,cod
2/3,tilapia
2/3,sole
2/4,sole
2/4,salmon
2/4,halibut
2/4,sole
2/5,plaice
2/5,plaice
2/5,maguro
2/5,mackerel
2/5,tilapia
2/6,mackerel
2/6,sole
2/6,salmon
2/6,plaice
2/6,salmon
2/6,cod
2/6,mackerel
2/6,sole
2/6,tilapia
2/6,maguro
2/7,mackerel
2/7,halibut
2/7,plaice
2/7,mackerel
2/7,mackerel
2/7,halibut
2/7,mackerel
2/7,cod
2/8,halibut
2/8,salmon
2/8,mackerel
2/8,halibut
2/8,halibut
2/8,tilapia
2/8,mackerel
2/8,ahi
2/9,ahi
2/9,tilapia
2/9,salmon
2/9,cod
2/9,halibut
2/10,halibut
2/10,sole
2/10,salmon
2/10,cod
2/10,sole
2/11,ahi
2/11,cod
2/11,sole
2/11,maguro
2/11,mackerel
2/11,char
2/12,cod
2/12,sole
2/12,tilapia
2/12,char
2/12,halibut
2/12,ahi
2/13,cod
2/13,sole
2/13,cod
2/13,mackerel
2/14,char
2/14,ahi
2/14,maguro
2/14,mackerel
2/14,char
2/14,mackerel
2/14,maguro
2/14,tilapia
2/14,char
2/14,char
2/15,sole
2/15,salmon
2/15,mackerel
2/15,sole
2/15,cod
2/15,salmon
2/15,plaice
2/15,maguro
2/16,maguro
2/16,maguro
2/16,mackerel
2/16,cod
2/16,tilapia
2/17,mackerel
2/17,ahi
2/17,maguro
2/18,sole
2/18,salmon
2/19,salmon
2/19,mackerel
2/19,char
2/19,halibut
2/19,sole
2/20,ahi
2/20,plaice
2/20,maguro
2/21,cod
2/21,ahi
2/21,halibut
2/21,halibut
2/22,salmon
2/22,tilapia
2/22,halibut
2/22,mackerel
2/22,tilapia
2/22,plaice
2/22,mackerel
2/23,plaice
2/23,halibut
2/24,plaice
2/24,plaice
2/24,maguro
2/24,cod
2/24,plaice
2/24,ahi
2/24,salmon
2/24,ahi
2/24,sole
2/24,ahi
2/25,mackerel
2/25,plaice
2/25,sole
2/25,plaice
2/25,mackerel
2/25,char
2/26,mackerel
2/26,maguro
2/26,maguro
2/26,salmon
2/26,mackerel
2/26,maguro
2/27,ahi
2/27,mackerel
2/27,tilapia
2/27,sole
2/27,plaice
2/27,mackerel
2/27,salmon
2/27,tilapia
2/27,mackerel
2/27,sole
2/28,char
2/28,sole
2/28,mackerel
2/28,maguro
2/28,char
2/28,halibut
3/1,char
3/1,cod
3/1,plaice
3/1,char
3/1,ahi
3/1,ahi
3/1,halibut
3/2,ahi
3/2,plaice
3/2,sole
3/2,mackerel
3/3,tilapia
3/3,salmon
3/3,tilapia
3/3,char
3/4,tilapia
3/4,cod
3/4,salmon
3/4,mackerel
3/4,plaice
3/4,plaice
3/4,mackerel
3/4,tilapia
3/4,plaice
3/5,sole
3/5,mackerel
3/5,maguro
3/5,ahi
3/5,mackerel
3/5,ahi
3/5,salmon
3/5,halibut
3/5,ahi
3/5,halibut
3/6,salmon
3/6,maguro
3/7,cod
3/7,ahi
3/7,mackerel
3/7,char
3/7,maguro
3/8,salmon
3/8,ahi
3/8,sole
3/8,halibut
3/8,char
3/9,salmon
3/9,plaice
3/9,char
3/9,cod
3/9,halibut
3/9,ahi
3/10,sole
3/10,char
3/10,plaice
3/10,mackerel
3/10,char
3/10,salmon
3/10,maguro
3/10,char
3/10,tilapia
3/10,mackerel
3/11,mackerel
3/11,cod
3/11,maguro
3/11,halibut
3/12,ahi
3/12,cod
3/12,sole
3/13,char
3/13,tilapia
3/13,salmon
3/13,sole
3/13,ahi
3/13,ahi
3/14,maguro
3/14,tilapia
3/14,mackerel
3/14,mackerel
3/15,maguro
3/15,salmon
3/15,cod
3/15,halibut
3/15,sole
3/15,mackerel
3/15,cod
3/16,maguro
3/16,ahi
3/16,cod
3/16,sole
3/16,halibut
3/16,tilapia
3/16,salmon
3/17,tilapia
3/17,mackerel
3/17,sole
3/17,halibut
3/18,sole
3/18,cod
3/19,plaice
3/19,plaice
3/19,salmon
3/19,maguro
3/19,halibut
3/19,mackerel
3/19,sole
3/19,mackerel
3/20,maguro
3/20,sole
3/20,char
3/20,halibut
3/20,salmon
3/20,mackerel
3/20,halibut
3/20,cod
3/20,sole
3/20,cod
3/21,salmon
3/21,plaice
3/21,maguro
3/21,ahi
3/21,cod
3/21,salmon
3/21,tilapia
3/21,cod
3/21,maguro
3/21,mackerel
3/22,tilapia
3/22,sole
3/22,plaice
3/23,cod
3/23,ahi
3/23,tilapia
3/23,salmon
3/23,sole
3/23,sole
3/24,maguro
3/24,maguro
3/24,sole
3/24,tilapia
3/24,sole
3/24,char
3/25,ahi
3/25,char
3/25,maguro
3/25,char
3/25,salmon
3/25,tilapia
3/26,sole
3/26,ahi
3/27,maguro
3/27,sole
3/27,tilapia
3/27,tilapia
3/27,plaice
3/27,char
3/27,plaice
3/27,mackerel
3/27,char
3/28,salmon
3/28,salmon
3/28,sole
3/29,maguro
3/29,maguro
3/29,plaice
3/29,plaice
3/29,halibut
3/30,plaice
3/30,char
3/30,plaice
3/30,mackerel
3/30,sole
3/30,char
3/30,halibut
3/30,salmon
3/30,salmon
3/31,salmon
3/31,plaice
3/31,maguro
3/31,mackerel
3/31,char
3/31,ahi
4/1,maguro
4/1,mackerel
4/1,ahi
4/1,cod
4/1,tilapia
4/1,tilapia
4/2,plaice
4/2,char
4/2,char
4/2,char
4/2,halibut
4/3,cod
4/3,char
4/3,salmon
4/3,mackerel
4/3,halibut
4/3,halibut
4/4,char
4/4,tilapia
4/4,halibut
4/4,salmon
4/4,char
4/4,sole
4/4,maguro
4/5,char
4/5,halibut
4/5,sole
4/5,mackerel
4/5,maguro
4/5,mackerel
4/6,tilapia
4/6,plaice
4/6,tilapia
4/6,ahi
4/6,cod
4/6,halibut
4/6,tilapia
4/7,cod
4/7,char
4/7,maguro
4/7,sole
4/7,mackerel
4/7,maguro
4/7,plaice
4/7,plaice
4/7,char
4/8,maguro
4/8,sole
4/8,ahi
4/9,cod
4/9,sole
4/9,char
4/9,salmon
4/10,tilapia
4/10,ahi
4/10,mackerel
4/10,ahi
4/10,mackerel
4/10,tilapia
4/10,halibut
4/10,plaice
4/10,plaice
4/11,sole
4/11,halibut
4/11,char
4/11,salmon
4/11,sole
4/11,char
4/12,mackerel
4/12,char
4/12,ahi
4/12,halibut
4/12,maguro
4/13,salmon
4/13,maguro
4/13,plaice
4/14,tilapia
4/14,char
4/14,char
4/14,halibut
4/15,mackerel
4/15,salmon
4/15,halibut
4/15,tilapia
4/15,maguro
4/16,salmon
4/16,sole
4/16,plaice
4/16,plaice
4/16,salmon
4/16,mackerel
4/16,ahi
4/16,maguro
4/17,ahi
4/17,char
4/17,mackerel
4/17,mackerel
4/17,char
4/17,ahi
4/17,salmon
4/18,ahi
4/18,salmon
4/18,char
4/18,mackerel
4/18,salmon
4/18,mackerel
4/18,ahi
4/18,char
4/19,cod
4/19,plaice
4/19,char
4/19,tilapia
4/19,mackerel
4/19,maguro
4/19,mackerel
4/19,mackerel
4/19,plaice
4/19,sole
4/20,sole
4/20,halibut
4/20,sole
4/20,sole
4/21,halibut
4/21,cod
4/21,maguro
4/21,char
4/21,char
4/21,maguro
4/21,salmon
4/21,plaice
4/21,ahi
4/21,plaice
4/22,ahi
4/22,ahi
4/22,mackerel
4/22,salmon
4/23,mackerel
4/23,char
4/23,mackerel
4/24,mackerel
4/24,char
4/24,maguro
4/24,tilapia
4/25,plaice
4/25,ahi
4/25,ahi
4/26,ahi
4/26,sole
4/26,halibut
4/26,plaice
4/26,sole
4/26,tilapia
4/26,tilapia
4/27,plaice
4/27,char
4/27,sole
4/27,sole
4/27,tilapia
4/27,ahi
4/27,sole
4/27,ahi
4/28,halibut
4/28,char
4/29,salmon
4/29,ahi
4/29,maguro
4/29,sole
4/29,sole
4/29,maguro
4/29,mackerel
4/29,sole
4/29,cod
4/30,tilapia
4/30,ahi
4/30,maguro
4/30,salmon
4/30,tilapia
4/30,tilapia
4/30,mackerel
4/30,salmon
5/1,maguro
5/1,char
5/1,maguro
5/1,mackerel
5/1,sole
5/2,char
5/2,tilapia
5/2,tilapia
5/2,maguro
5/2,ahi
5/2,mackerel
5/3,char
5/3,salmon
5/3,halibut
5/3,salmon
5/4,sole
5/4,halibut
5/4,ahi
5/4,plaice
5/4,halibut
5/4,cod
5/4,char
5/4,mackerel
5/4,maguro
5/4,halibut
5/5,char
5/5,tilapia
5/5,maguro
5/5,sole
5/5,mackerel
5/5,ahi
5/6,tilapia
5/6,maguro
5/7,maguro
5/7,ahi
5/8,plaice
5/8,ahi
5/8,maguro
5/8,cod
5/9,cod
5/9,sole
5/9,cod
5/9,salmon
5/9,plaice
5/10,tilapia
5/10,char
5/11,halibut
5/11,maguro
5/11,tilapia
5/11,halibut
5/11,mackerel
5/11,salmon
5/11,plaice
5/11,halibut
5/11,tilapia
5/12,char
5/12,sole
5/12,mackerel
5/12,plaice
5/12,halibut
5/12,salmon
5/12,plaice
5/12,salmon
5/12,sole
5/13,sole
5/13,plaice
5/13,cod
5/13,salmon
5/13,plaice
5/13,mackerel
5/14,sole
5/14,maguro
5/14,plaice
5/15,sole
5/15,salmon
5/16,salmon
5/16,tilapia
5/16,mackerel
5/16,salmon
5/16,salmon
5/16,mackerel
5/16,mackerel
5/16,tilapia
5/16,mackerel
5/16,sole
5/17,plaice
5/17,ahi
5/17,halibut
5/18,mackerel
5/18,ahi
5/18,mackerel
5/18,ahi
5/18,cod
5/18,char
5/18,halibut
5/18,sole
5/18,sole
5/19,mackerel
5/19,ahi
5/19,char
5/19,char
5/19,sole
5/19,sole
5/20,maguro
5/20,plaice
5/21,ahi
5/21,halibut
5/21,tilapia
5/21,ahi
5/21,salmon
5/21,ahi
5/21,cod
5/21,cod
5/21,sole
5/22,cod
5/22,ahi
5/22,maguro
5/22,halibut
5/22,salmon
5/22,char
5/23,cod
5/23,mackerel
5/23,cod
5/23,mackerel
5/23,mackerel
5/23,halibut
5/23,sole
5/23,halibut
5/23,tilapia
5/24,tilapia
5/24,mackerel
5/24,maguro
5/24,plaice
5/24,cod
5/25,ahi
5/25,cod
5/25,maguro
5/25,sole
5/25,mackerel
5/25,maguro
5/25,char
5/25,mackerel
5/25,maguro
5/26,mackerel
5/26,tilapia
5/26,salmon
5/27,sole
5/27,sole
5/27,halibut
5/27,plaice
5/27,maguro
5/27,tilapia
5/27,halibut
5/28,cod
5/28,plaice
5/28,cod
5/28,salmon
5/28,halibut
5/29,ahi
5/29,sole
5/29,salmon
5/29,halibut
5/29,cod
5/29,sole
5/29,char
5/29,salmon
5/30,salmon
5/30,sole
5/30,mackerel
5/30,salmon
5/30,sole
5/30,sole
5/30,tilapia
5/31,maguro
5/31,halibut
5/31,maguro
5/31,halibut
5/31,ahi
6/1,tilapia
6/1,mackerel
6/1,halibut
6/1,tilapia
6/1,maguro
6/1,halibut
6/2,ahi
6/2,mackerel
6/2,tilapia
6/3,ahi
6/3,mackerel
6/3,halibut
6/3,mackerel
6/3,maguro
6/4,ahi
6/4,sole
6/4,char
6/4,sole
6/4,ahi
6/4,tilapia
6/4,char
6/4,sole
6/4,tilapia
6/5,sole
6/5,mackerel
6/5,ahi
6/6,mackerel
6/6,halibut
6/6,tilapia
6/6,plaice
6/6,sole
6/6,tilapia
6/6,tilapia
6/7,char
6/7,mackerel
6/7,mackerel
6/7,sole
6/7,mackerel
6/7,sole
6/7,plaice
6/7,mackerel
6/8,ahi
6/8,ahi
6/8,plaice
6/8,char
6/9,cod
6/9,maguro
6/9,sole
6/9,cod
6/9,plaice
6/9,maguro
6/9,sole
6/9,ahi
6/10,tilapia
6/10,ahi
6/10,salmon
6/11,halibut
6/11,plaice
6/11,ahi
6/12,char
6/12,char
6/13,tilapia
6/13,cod
6/13,mackerel
6/13,sole
6/13,char
6/13,sole
6/13,ahi
6/13,cod
6/13,halibut
6/14,salmon
6/14,maguro
6/14,ahi
6/14,tilapia
6/14,maguro
6/14,plaice
6/15,tilapia
6/15,salmon
6/15,mackerel
6/15,sole
6/15,maguro
6/16,mackerel
6/16,salmon
6/16,cod
6/16,char
6/16,cod
6/16,plaice
6/16,halibut
6/16,sole
6/16,ahi
6/17,plaice
6/17,salmon
6/17,char
6/17,ahi
6/17,maguro
6/17,maguro
6/17,maguro
6/17,mackerel
6/17,tilapia
6/17,salmon
6/18,plaice
6/18,halibut
6/18,halibut
6/18,salmon
6/18,cod
6/18,tilapia
6/19,char
6/19,sole
6/19,ahi
6/19,cod
6/19,sole
6/20,salmon
6/20,tilapia
6/20,char
6/20,maguro
6/20,maguro
6/20,tilapia
6/20,sole
6/21,plaice
6/21,halibut
6/21,halibut
6/21,salmon
6/22,cod
6/22,sole
6/22,halibut
6/22,ahi
6/22,sole
6/22,maguro
6/22,salmon
6/23,salmon
6/23,cod
6/23,salmon
6/23,cod
6/23,salmon
6/23,plaice
6/23,salmon
6/23,mackerel
6/23,sole
6/24,mackerel
6/24,ahi
6/24,salmon
6/24,char
6/24,halibut
6/24,salmon
6/24,cod
6/24,cod
6/24,sole
6/24,cod
6/25,char
6/25,cod
6/26,salmon
6/26,char
6/26,char
6/26,cod
6/26,salmon
6/27,maguro
6/27,ahi
6/27,mackerel
6/27,ahi
6/27,salmon
6/27,maguro
6/27,plaice
6/27,cod
6/27,cod
6/27,cod
6/28,plaice
6/28,char
6/28,maguro
6/28,maguro
6/28,maguro
6/28,salmon
6/28,sole
6/28,tilapia
6/28,salmon
6/29,plaice
6/29,salmon
6/29,plaice
6/29,salmon
6/29,salmon
6/29,plaice
6/29,ahi
6/29,mackerel
6/29,ahi
6/29,halibut
6/30,char
6/30,ahi
6/30,tilapia
6/30,sole
6/30,tilapia
7/1,mackerel
7/1,plaice
7/1,cod
7/1,mackerel
7/1,plaice
7/1,sole
7/1,mackerel
7/1,mackerel
7/1,char
7/1,maguro
7/2,char
7/2,cod
7/2,char
7/2,maguro
7/2,char
7/2,cod
7/2,halibut
7/2,salmon
7/2,cod
7/2,sole
7/3,plaice
7/3,char
7/3,plaice
7/3,plaice
7/3,salmon
7/3,plaice
7/3,maguro
7/3,maguro
7/4,cod
7/4,tilapia
7/4,plaice
7/4,maguro
7/5,tilapia
7/5,char
7/5,char
7/5,tilapia
7/5,halibut
7/5,mackerel
7/5,ahi
7/5,cod
7/6,cod
7/6,halibut
7/6,salmon
7/7,tilapia
7/7,halibut
7/7,halibut
7/7,char
7/7,cod
7/8,tilapia
7/8,ahi
7/8,ahi
